Name,Year,Genre,Publisher,North America,Europe,Japan,Other,Global
Grand Theft Auto: San Andreas,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81
Grand Theft Auto: Vice City,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15
Gran Turismo 3: A-Spec,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98
Grand Theft Auto III,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1
Gran Turismo 4,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66
Final Fantasy X,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05
Need for Speed Underground,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2
Need for Speed Underground 2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9
Medal of Honor: Frontline,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83
Kingdom Hearts,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4
Metal Gear Solid 2: Sons of Liberty,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05
Final Fantasy XII,2006,Role-Playing,Square Enix,1.88,0,2.33,1.74,5.95
Crash Bandicoot: The Wrath of Cortex,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42
Final Fantasy X-2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29
Madden NFL 2004,N/A,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23
Dragon Quest VIII: Journey of the Cursed King,2004,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21
Medal of Honor: Rising Sun,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13
Guitar Hero II,2006,Misc,RedOctane,3.81,0.63,0,0.68,5.12
Guitar Hero III: Legends of Rock,2007,Misc,Activision,3.49,0.01,0.01,1.48,4.98
Madden NFL 06,2005,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91
The Simpsons: Hit & Run,2003,Racing,Vivendi Games,1.73,2.19,0,0.79,4.7
The Lord of the Rings: The Two Towers,2002,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67
Madden NFL 2005,2004,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.53
Madden NFL 07,2006,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49
Spider-Man: The Movie,2002,Action,Activision,2.71,1.51,0.03,0.23,4.48
God of War,2005,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45
Tony Hawk's Pro Skater 3,2001,Sports,Activision,2.66,1.29,0.01,0.46,4.41
Winning Eleven: Pro Evolution Soccer 2007,2006,Sports,Konami Digital Entertainment,0.1,2.39,1.05,0.86,4.39
Need for Speed: Most Wanted,2005,Racing,Electronic Arts,2.03,1.79,0.08,0.47,4.37
Kingdom Hearts II,2005,Role-Playing,Square Enix,2.2,0.58,1.38,0.17,4.33
Metal Gear Solid 3: Snake Eater,2004,Action,Konami Digital Entertainment,1.46,0,0.83,1.93,4.23
FIFA Soccer 06,2005,Sports,Electronic Arts,0.78,2.55,0.04,0.84,4.21
EyeToy Play,2003,Misc,Sony Computer Entertainment,0.88,2.3,0.2,0.83,4.2
Madden NFL 2003,2002,Sports,Electronic Arts,3.36,0.21,0.01,0.56,4.14
FIFA Soccer 07,2006,Sports,Electronic Arts,0.71,2.48,0.03,0.89,4.11
God of War II,2007,Action,Sony Computer Entertainment,2.32,0.04,0.04,1.67,4.07
World Soccer Winning Eleven 9,2005,Sports,Konami Digital Entertainment,0.12,2.26,0.9,0.77,4.06
Tekken Tag Tournament,2000,Fighting,Namco Bandai Games,1.68,1.51,0.51,0.35,4.05
Namco Museum: 50th Anniversary,2005,Misc,Namco Bandai Games,2.08,1.35,0,0.54,3.98
Tony Hawk's Underground,2003,Sports,Activision,2.29,1.17,0.01,0.42,3.9
Tekken 5,2005,Fighting,Namco Bandai Games,0.93,1.94,0.31,0.7,3.87
World Soccer Winning Eleven 8 International,2004,Sports,Konami Digital Entertainment,0.16,1.89,1.12,0.68,3.85
FIFA Soccer 2005,2004,Sports,Electronic Arts,0.58,2.48,0.04,0.59,3.7
Tony Hawk's Pro Skater 4,2002,Sports,Activision,2.13,1.18,0.01,0.35,3.67
SOCOM: U.S. Navy SEALs,2002,Shooter,Sony Computer Entertainment,2.53,0.81,0.06,0.24,3.65
Jak and Daxter: The Precursor Legacy,2001,Platform,Sony Computer Entertainment,2.08,1.09,0.15,0.33,3.64
Pro Evolution Soccer 2008,2007,Sports,Konami Digital Entertainment,0.05,0,0.64,2.93,3.63
Resident Evil 4,2005,Action,Capcom,2.08,0.83,0.46,0.25,3.62
Star Wars: Battlefront,2004,Shooter,LucasArts,1.93,1.22,0.03,0.44,3.61
The Simpsons: Road Rage,2001,Racing,Electronic Arts,2.02,1.17,0,0.42,3.61
Star Wars: Battlefront II,2005,Shooter,LucasArts,2.18,1.02,0.03,0.37,3.59
Grand Theft Auto: Liberty City Stories,2006,Action,Take-Two Interactive,1.56,1.4,0.07,0.5,3.54
The Getaway,2002,Action,Sony Computer Entertainment,1.23,1.77,0.05,0.49,3.54
James Bond 007: Agent Under Fire,2001,Shooter,Electronic Arts,1.9,1.13,0.1,0.41,3.53
LEGO Star Wars: The Video Game,2005,Action,Eidos Interactive,1.98,1.14,0.01,0.41,3.53
FIFA Soccer 2004,N/A,Sports,Electronic Arts,0.59,2.36,0.04,0.51,3.49
Tekken 4,2002,Fighting,Namco Bandai Games,1.55,1.27,0.33,0.29,3.44
Spider-Man 2,2004,Action,Activision,1.75,1.2,0.02,0.43,3.41
FIFA Soccer 2003,2002,Sports,Electronic Arts,0.46,2.28,0.05,0.61,3.4
James Bond 007: Nightfire,2002,Shooter,Electronic Arts,1.45,1.29,0.12,0.46,3.33
